  2020-Jun-21 091244.388081 ,               56293856  
  2020-Jun-21 091245.685791 ,               56293857  
  2020-Jun-21 091247.100410 ,               56293857  
  2020-Jun-21 091248.403979 ,               56293857  
  2020-Jun-21 091249.693709 ,               56293858  
  2020-Jun-21 091250.993180 ,               56293858  
  2020-Jun-21 091252.404368 ,               56293858  
  2020-Jun-21 091253.701839 ,               56293859  
  2020-Jun-21 091255.129985 ,               56293859  
  2020-Jun-21 091256.708214 ,               56293860  
  2020-Jun-21 091258.126928 ,               56293860  
  2020-Jun-21 091259.435501 ,               56293860  
  2020-Jun-21 091300.855073 ,               56293861  
  2020-Jun-21 091302.172774 ,               56293861  
  2020-Jun-21 091303.462137 ,               56293861  
